SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52000110,6.4,8.25,,,,,4.25,6.5,9,,5.8
52000111,6.4,7.5,6,7,5,,,,,,8.4
52000112,8,6.5,7.75,7.5,4.5,,,,,,4.4
52000113,6,5.75,,,,,5.5,5.75,8,,4.4
52000114,8.2,6.75,5.25,5.75,5.25,,,,,,8.4
52000115,6.6,7.25,,,,,6.5,7.75,9,,6.8
52000116,5,6.25,,,,,2,6.25,,,
52000117,5.4,6.25,,,,,3.25,6.5,7.5,,6.6
52000118,7,5.5,,,,,4.5,6.25,7.75,,6.4
52000119,5.8,7,,,,,2.25,5.75,,,
52000120,6.2,6,5.25,6.75,5,,,,,,6.2
52000121,6,5.5,,,,,4.25,7,,,
52000122,6.8,7.5,6,7,6,,,,,,5.4
52000123,6.6,5.25,,,,,5,6.75,9.25,,6
52000124,8.8,7.25,7,7.5,6.75,,,,,,8.6
52000125,8,6.5,5.25,4.25,3.25,,,,,,3.6
52000126,8.4,6.25,6,7.5,4.25,,,,,,7.2
52000127,8,6.75,7.25,7.25,5,,,,,,9.2
52000128,6.6,6,5.25,7.25,4,,,,,,7.8
52000129,7.2,6.5,5.75,4,4.25,,,,,,8.8
52000130,6.8,6.5,,,,,3.5,7,8.25,,9
52000131,6.6,5.25,4.25,3.75,4.25,,,,,,5.2
52000132,6.8,7,,,,,8,8,9,,7.4
52000133,8,7,,,,,6.5,7.25,9.25,,6.8
52000134,6.2,5.25,,,,,4.5,6.25,,,
52000135,5.4,7,,,,,5.5,6,,,
52000136,6.4,7,,,,,4.5,5.5,7.5,,6.6
52000137,7.6,8,,,,,3.5,6.25,7.5,,8.2
52000138,6.8,8,,,,,5,8,9.25,,7.6
52000139,6.2,7.5,5,4.75,5.75,,,,,,8
52000140,5.6,7.01,,,,,3.25,7.25,7,,2.8
52000141,7.2,7.75,,,,,5.5,7,8.75,,3.4
52000142,7,6.75,7.5,7,6.75,,,,,,7.2
52000143,8.8,6.25,6.25,6,5.75,,,,,,6.8
52000144,5.8,7.25,,,,,3.75,6,5.25,,6.2
52000145,8.8,8.25,,,,,8.75,8.75,9.5,,9.8
52000146,7.6,7,8,6.5,6.25,,,,,,9.2
52000147,6.6,7.75,6.25,4.75,5,,,,,,5.2
52000148,3.6,4,,,,,2.25,6.25,5.5,,2.6
52000149,7.6,6.5,6.75,8,5,,,,,,7.8
52000150,6.6,5.75,6.25,6.5,5.75,,,,,,8
52000151,6.2,5.25,,,,,4.5,6,7,,5
52000152,7.2,5,5.75,6.25,6,,,,,,9.8
52000153,7.2,7.75,,,,,,,,,7.8
52000154,5.4,4.25,,,,,5.25,8,,,
52000155,5.6,7,,,,,3.5,6.5,,,
52000157,6,6,,,,,7.5,7.75,8.5,,2.8
52000158,7.2,7.5,,,,,6.75,7.25,8.75,,8.2
52000159,7,6.75,,,,,6.25,8,9,,8.2
52000160,6.8,6.5,,,,,6.75,7.75,,,
52000161,6.6,6.75,,,,,7.25,7.75,7.5,,5.6
52000162,8,8,,,,,8,8.25,9.75,,9
52000163,8.4,6.5,8.25,8.25,5,,,,,,6.6
52000164,8,7.5,7.5,8.25,5.75,,,,,,7.2
52000165,8.4,7.75,5,4.75,4,,,,,,8
52000166,5.4,6.5,3.75,5.75,4.75,,,,,,4.8
52000167,7.8,5.75,7.75,8.75,4.25,,,,,,7
52000168,8.4,6.25,8.75,5.5,6.25,,,,,,9.4
52000169,4.8,7.25,,,,,4.5,6.75,8.25,,5
52000170,6,7.75,,,,,6,8.25,8.75,,3.4
52000171,7.6,6.25,,,,,7.25,8.25,9.75,,8.6
52000172,5.6,5.5,,,,,2.5,6.75,7.75,,
52000173,6.8,6,5,5.75,4,,,,,,7.4
52000174,6.8,7.75,,,,,5.75,7,8.5,,5.8
52000175,6.6,7.75,,,,,7,7.75,9.5,,4.4
52000176,7.4,8.25,,,,,7.75,7.25,9.5,,9
52000177,5.2,8.25,,,,,4.5,6.5,8.25,,4.8
52000178,7.4,8.5,,,,,6.75,8.75,10,,7.8
52000179,8.4,,7.25,8,,,,,,,
52000180,6.8,7.5,6,3.5,5.75,,,,,,5.6
52000181,4.4,7.5,,,,,5.5,6.5,,,
52000182,6,7.75,,,,,4.5,6.25,8.75,,7.4
52000183,8,8.25,,,,,6.75,8.75,9.25,,9.4
52000184,6.2,8,,,,,,,,,9
52000185,7.4,8,6.5,5,6.75,,,,,,7.6
52000186,7,7.5,,,,,4,5.25,8,,7.8
52000187,7.6,8.25,6.5,8.25,6,,,,,,8.4
52000188,7.2,8,5.5,2.75,5,,,,,,6.2
52000189,6.6,4.5,,,,,7,8,,,
52000190,5.4,5.5,,,,,4.25,6.5,7.5,,2.8
52000191,6.6,5.5,,,,,2.75,8,,,
52000192,7.8,7.25,,,,,7.5,7.75,10,,9.4
52000193,7.2,7.25,,,,,4.25,8,8.75,,8
52000194,7.4,7.5,7.25,8.5,8,,,,,,9
52000195,7,5,,,,,6,8,,,
52000196,9.2,7,6.75,6.5,4.5,,,,,,8.8
52000197,6.4,7.5,,,,,5.5,7,8.75,,7.8
52000198,4.8,,4.25,3.5,,,,,,,
52000199,7.6,6.75,,,,,5,7.75,,,
52000200,7.2,6.5,6.75,5.75,5.25,,,,,,6.2
52000201,7.6,7.75,,,,,3.75,6.5,9.5,,8.6
52000202,6.8,6.5,,,,,6.5,5.75,9.5,,6.4
52000203,7.6,6.66,5.25,6.75,5.5,,,,,,7.4
52000204,6.4,7,6.25,5,4.75,,,,,,6.6
52000205,7.6,7.5,4.75,7.75,8,,,,,,8.8
52000206,8.2,6.5,9,4.5,4.5,,,,,,8.8
52000207,5.4,6.75,,,,,7.25,7.75,8.75,,7.8
52000208,7.4,6.5,,,,,4.25,6.75,9.25,,6.8
52000209,6.8,8,,,,,6.5,7.25,,,
52000210,8.8,8.75,7,8.25,7.25,,,,,,8.4
52000211,6.8,7,,,,,7.5,8.5,9.75,,9.8
52000212,6.2,7.25,5,7.5,5,,,,,,6.2
52000213,6.4,7.75,,,,,5.25,7,9.25,,7.2
52000214,7.4,7.75,6.25,4.75,6,,,,,,7.2
52000215,7.4,7,5,5.5,6.75,,,,,,6.2
52000216,6.8,7.75,,,,,7,8.25,,,
52000217,6.4,8,,,,,3.5,7,8,,6.4
52000218,8.2,7.75,,,,,5.75,6.25,9,,5.6
52000219,6.4,8,,,,,4.5,7.5,8.5,,6.8
52000220,7,8,,,,,6,7.75,9.75,,7.8
52000221,7.2,7.5,,,,,6,6.75,9.25,,5.4
52000222,5.2,8,,,,,5.5,7.75,7.5,,6.6
52000223,8.6,8,8.5,7.75,6.75,,,,,,8
52000224,5.2,8,,,,,5.25,7.25,7.25,,7.2
52000225,7,5.5,7,5.75,7.25,,,,,,3.6
52000226,6.2,6.5,,,,,4.75,5.75,6.5,,3.4
52000227,7,6.5,5.75,5.25,4.75,,,,,,4.2
52000228,5.8,6,,,,,5.25,7,7.75,,8.4
52000229,7.2,6.5,,,,,5.25,7.25,,,
52000230,6.8,7,7.25,5.75,4,,,,,,6
52000231,8.6,6.25,5.25,4.25,3.25,,,,,,7.8
52000232,7.2,6.75,5.5,5.25,4.75,,,,,,5
52000233,6.6,6.75,4.25,4,4.5,,,,,,8.2
52000234,8.2,6.25,7.75,8,6.75,,,,,,6.6
52000235,6.8,6.25,,,,,6.75,8.75,,,
52000236,7.4,7.95,,,,,8,9,9.75,,7.6
52000237,8.4,6,7.75,7.5,7,,,,,,9.6
52000238,7.4,7.5,6.75,6.5,4,,,,,,6.4
52000239,5.4,6.75,,,,,2.75,6.75,,,
52000240,7.8,8.75,7.5,8,6.75,,,,,,9.2
52000241,7.6,7.5,,,,,5.75,6.75,9.5,,7.2
52000242,7.2,7,5.75,4,5.25,,,,,,7
52000243,7.6,6,6.75,7.75,4.75,,,,,,7.4
52000244,7.4,8,6.25,7,5.5,,,,,,7.6
52000245,7,7,6.25,7.25,5.75,,,,,,8.6
52000246,7.6,6.25,6.25,4.75,4.5,,,,,,8
52000247,8.4,5.5,7.75,4.25,4.75,,,,,,9.2
52000248,7.4,6.75,6.5,7.25,6.25,,,,,,8.8
52000249,7.6,7.25,,,,,4.75,5.75,9.75,,5
52000250,5.2,6.25,,,,,5.25,5.25,6.25,,8.2
52000251,7,4.5,,,,,7.25,7.75,8.75,,7.8
52000252,6,6.75,5.25,6.25,5.25,,,,,,6
52000253,6.6,6.75,6,6.25,4,,,,,,7.8
52000254,8.2,7.75,7,8.5,6.25,,,,,,7.4
52000255,5.2,7.25,,,,,4.25,6.5,7,,4.2
52000256,6.6,5.25,5.5,5.75,4,,,,,,6.4
52000257,6.6,5,4.75,4,2.75,,,,,,
52000258,8.6,6.75,7,7.25,5.5,,,,,,8.8
52000259,7.2,5.75,,,,,4.5,7.25,,,
52000260,6,7.25,,,,,4.25,6,9,,6.8
52000261,7,8.5,,,,,6.25,7.5,9.5,,6.6
52000262,7.8,7.75,5,3.5,5.25,,,,,,6.6
