SBD,Toan,Van,Ly,Hoa,Sinh,KHTN,Su,Dia,GDCD,KHXH,Anh
52001817,7.4,4.75,5.5,3.25,5,,,,,,7.4
52001818,9.2,7,,,,,7.5,8,9,,9.8
52001819,9.6,4.25,7.75,8.5,9.75,,,,,,
52001820,8,8.75,,,,,7.5,8.25,10,,9.4
52001821,7.2,7.5,5.5,6.5,5,,,,,,5.4
52001822,8,7,7,7.75,6.5,,,,,,9.4
52001823,8,7.5,6.25,6,3.5,,,,,,9.4
52001824,6.8,8,,,,,6.75,8,9.25,,8.6
52001825,7.8,7.75,,,,,6,8.5,9.5,,9
52001826,7.8,5.75,7.25,5.25,3.5,,,,,,7.4
52001827,6.4,6.25,5.75,5.75,5.75,,,,,,7.6
52001828,8.2,7,6.5,7.5,6.75,,,,,,6.2
52001829,9.2,6,7.75,8.25,6,,,,,,
52001830,7.6,6.75,6.25,5,4.5,,,,,,6.4
52001831,7.8,6.75,5.75,6.25,6,,,,,,7.2
52001832,7.8,7.25,,,,,6,7.25,10,,9.6
52001833,8.8,7.5,,,,,5.75,8,9,,9.4
52001834,8.4,7.25,,,,,8.25,8.25,9.75,,8.2
52001835,6.4,6.5,,,,,4.25,7,7,,4.2
52001836,8.4,6.75,8,7,6.25,,,,,,9
52001837,6.8,6.25,5,2.5,4.5,,,,,,4.8
52001838,7.2,6.25,4,3.5,3.5,,,,,,8.4
52001839,8,4.5,6.5,4.5,7.5,,,,,,8.4
52001840,7.4,7,5.75,7.75,5,,,,,,7.2
52001841,8.8,6.25,7.75,6.5,7,,,,,,9.8
52001842,6.6,4.5,6,6.25,5.75,,,,,,9.8
52001844,6.4,7.75,,,,,6.25,7,9.75,,7.6
52001845,7.4,6.75,7,6,5.5,,,,,,6.2
52001846,5.8,8.5,5.75,6.5,4.75,,,,,,5.4
52001847,5.6,5.75,,,,,5,5.5,6.5,,8
52001848,8.2,6.5,6,6.25,4.75,,,,,,7.4
52001849,8.4,8.25,,,,,8.5,7.5,10,,9.4
52001850,9,7.25,7.75,7.75,4,,,,,,8.6
52001851,6.8,7,4.75,6.5,4.75,,,,,,4.4
52001852,8.2,8,5.25,7.75,8,,,,,,7.2
52001853,8.8,8.75,,,,,8.25,8.75,9.75,,9.6
52001854,7.2,6.75,4.5,4,4.75,,,,,,4.8
52001855,4.8,7.75,5.75,4,2.75,,,,,,9.2
52001856,8.6,8.25,7,7.5,6.75,,,,,,9.2
52001857,7.2,8.25,,,,,5.5,6.75,9.5,,8.6
52001858,6.8,7.25,,,,,5,7.75,9,,6.6
52001859,8,8.25,,,,,6.75,7.75,9.5,,9.6
52001860,6.2,6.75,3.75,4.75,3.5,,,,,,9.2
52001861,6.8,7,,,,,3.75,5.25,8.75,,7.6
52001862,7.4,7.25,5,5.5,5.25,,,,,,8.2
52001863,6.8,6.5,3.5,3.5,3.5,,,,,,6.4
52001864,6.8,7.5,,,,,4.5,7,9.25,,9.6
52001865,7.6,8,,,,,8.25,8.75,9.25,,8.2
52001866,8.8,9,,,,,8.75,9.25,10,,10
52001867,7.2,8.25,,,,,4.75,6.25,8.5,,7
52001868,7.6,6.75,6.25,6.25,4.75,,,,,,8
52001869,7.6,6.25,6.5,5,4.75,,,,,,8.8
52001870,7,5.75,5,4.25,4,,,,,,6
52001871,8.6,6.25,8.75,7.75,6.25,,,,,,8.2
52001872,7.4,7.5,,,,,6.75,8.5,9.75,,9.4
52001873,5.6,3.75,3.75,3.5,3,,,,,,4.6
52001874,7.8,7.5,,,,,6,8,10,,9.8
52001875,8.4,7.5,8.5,8,5.5,,,,,,7.6
52001876,8.6,7,7.25,8,4.75,,,,,,7.6
52001877,7.8,6.5,,,,,4.75,6.5,8.5,,7.8
52001878,7.6,6.75,,,,,3.25,6.75,8.5,,3.6
52001879,7.2,5.75,3.5,4,4.5,,,,,,3.4
52001880,8.2,6,7,5.5,4.25,,,,,,5.8
52001881,7,6.25,,,,,4.25,7.25,8.5,,7
52001882,6.8,6,3.5,4.25,4.5,,,,,,5.8
52001883,6,5,,,,,3,5.75,7,,3
52001884,7.8,7.25,5.75,8.5,4.5,,,,,,9
52001885,8.6,7.25,7.25,8.75,4.75,,,,,,7.6
52001886,5.6,7.5,,,,,4,7.25,8.25,,5.6
52001887,8.6,7.75,,,,,6.75,7.5,7,,9.2
52001888,7.8,5.25,6.5,8.5,6.25,,,,,,7.6
52001889,7.8,7.5,7.25,6.75,6.75,,,,,,9
52001890,7.2,7.25,5,6.75,3.5,,,,,,3.6
52001891,7.4,6,6.75,4.5,4.75,,,,,,8.6
52001892,7.4,7.75,7.5,7.5,5.5,,,,,,7.8
52001893,9.2,6.75,8.25,7.5,4.5,,,,,,8.8
52001894,7.2,6.75,,,,,4.5,7.5,9.75,,6.4
52001895,7,6.5,,,,,3,6,5.25,,5
52001896,9,6.25,8,8,6.25,,,,,,8.2
52001897,6.6,8.5,,,,,8.25,8.75,10,,9
52001898,7,7.5,,,,,7,7.25,9.75,,9.2
52001899,7.4,7.25,6,8,5.5,,,,,,9
52001900,6,7.25,,,,,8,8.5,9.75,,9.6
52001901,6,7.25,,,,,2.5,5.5,8,,3.6
52001902,7.6,8,,,,,6.5,8,9,,9.2
52001903,8.8,7.25,,,,,8,8.75,9,,10
52001904,7.4,6.5,,,,,7.5,8.75,9.75,,8
52001905,8.2,7.25,,,,,7,8.5,9.75,,5
52001906,7,8.25,,,,,3.75,6.25,9.5,,6.6
52001907,6.8,8,,,,,4.75,7.5,9,,6.6
52001908,7.2,7,5.75,4,5.5,,,,,,8.4
52001909,7.8,7.5,8.25,6.75,4,,,,,,8
52001910,8.2,7.25,5,6,5.5,,,,,,8.4
52001911,8.6,7.25,9,8,3.5,,,,,,8.8
52001912,8,7.25,,,,,5.25,7.25,8,,8.2
52001913,8.8,7,8.75,7.5,7.5,,,,,,9.4
52001914,5.8,6.25,,,,,7,7.75,9.25,,4.4
52001915,6.4,5.25,,,,,3,5.5,7,,4.6
52001916,8,6.25,7.75,5.75,5.75,,,,,,9.4
52001917,7.4,6.5,6,4.5,6.5,,,,,,9.4
52001918,8.8,7,8.75,8.75,5.25,,,,,,9.2
52001919,4,5,,,,,5,7,6,,4.4
52001920,6,6.5,,,,,4,7.5,6.75,,5.6
52001921,6.4,6,6,6,4.25,,,,,,4.8
52001922,7.6,5.75,7,4.5,4.75,,,,,,9.4
52001923,6.8,6,5.5,8,8.5,,,,,,9
52001924,8.4,7.25,7,4.25,5,,,,,,9.2
52001925,7,6.5,5.5,4.25,4.75,,,,,,7
52001926,7.6,7,4.75,5,4.25,,,,,,8.4
52001927,5.2,6,5,4.5,4.75,,,,,,8.4
52001928,7.6,8,,,,,5.75,7.75,9.5,,8.4
52001929,8.4,8,,,,,4.5,7.75,9,,9
52001930,8.4,7.25,,,,,6.75,7.75,9.25,,9
52001931,8.8,9,,,,,5.75,7.5,9.5,,10
52001932,8.8,9,,,,,6.5,8,10,,10
52001933,5.8,7,4.5,4.5,5.25,,,,,,6.8
52001934,5.8,6.75,5,4.25,4.25,,,,,,3
52001935,8,7,6.75,8.5,6,,,,,,5.8
52001936,6.6,7.25,,,,,3.5,6,8,,7.6
52001937,7,7,,,,,3.25,7.75,6.5,,4.6
52001938,8.8,8.25,5.75,8.25,4.75,,,,,,9.2
52001939,7.4,8,,,,,7,8.25,9.5,,8
52001940,9,8,7.5,7.75,5.75,,,,,,4.4
52001941,8,6.5,6.75,7,5.25,,,,,,9
52001942,8.2,7.5,8.25,8.75,6.75,,,,,,9.8
52001943,8.2,6.25,6.5,3.5,4.75,,,,,,8.4
52001944,7.6,8.25,5.75,6.75,4.75,,,,,,5.4
52001945,8.4,6.75,7.5,7.75,3,,,,,,8.2
52001946,6,8.25,,,,,2.75,6.25,6.75,,5.6
52001947,7.6,8,5,6.5,4.5,,,,,,9.4
52001948,7.6,7.5,6.25,6,5.5,,,,,,9
52001949,7.4,8.25,6,5.75,7.75,,,,,,8.6
52001950,7,7,4.75,4.25,4.75,,,,,,3.6
52001951,6.8,8.75,,,,,8.75,8.25,10,,9.6
52001952,6.4,8.25,,,,,4.5,7.25,7.75,,8.6
52001953,7.6,7.75,6.25,5.5,6.75,,,,,,9.4
52001954,9.2,6.75,8.5,8,6.5,,,,,,8.4
52001955,7,6.25,5,4.75,4.25,,,,,,3.6
52001956,7.8,7.25,5.25,4.5,5,,,,,,7.4
52001957,9.4,8.5,8.5,8.5,5.75,,,,,,9.8
52001958,8.8,5,8.25,8.25,2,,,,,,8.6
52001959,7.2,7,,,,,6,8.5,9.25,,8
52001960,8.8,7.5,8.25,6.25,6.5,,,,,,9.2
52001961,7.2,7.5,6.25,6,4,,,,,,8.2
52001962,7.6,4.5,6.75,3,5,,,,,,9
52001963,6.8,7.5,,,,,4.75,7.5,9.25,,3.6
52001964,8.4,7.25,,,,,7.75,8,9.25,,9.4
52001965,6.8,7.75,,,,,6,6.5,9.25,,6.6
52001966,7.6,8.25,6.75,5.75,6.75,,,,,,9.2
52001967,8.2,8,,,,,4.25,7.25,9.25,,8.6
52001968,7.2,7.25,6.5,6.25,6,,,,,,9.2
52001969,7.4,6.75,4.25,4.75,3,,,,,,2.2
52001970,7.8,7,6.75,8,7,,,,,,9
52001971,8,4,6.25,5.25,4.25,,,,,,9.2
52001972,7.6,4.5,7.25,5.75,5.75,,,,,,7.8
52001973,9,6,7.75,7.25,6.5,,,,,,9.6
52001974,7.4,8,,,,,7.5,8.5,8.5,,9
52001975,7.8,7.25,5,8,4.75,,,,,,9.2
52001976,4.6,7.75,,,,,3.25,6,8.75,,4.8
52001977,8.4,8.5,,,,,7.5,8.75,9.5,,10
52001978,8.2,6.25,7.25,4,7,,,,,,8
52001979,7.6,7,6.5,6.75,6.25,,,,,,9
52001980,7.6,5,5,6.75,4.5,,,,,,5.8
52001981,5,6.5,,,,,4.5,7,8.25,,4.6
52001982,6.2,5.83,5.75,4.75,3.25,,,,,,4.2
52001983,8.4,7.5,7.25,8.25,4.25,,,,,,
52001984,9,7.5,8.5,8.5,6.25,,,,,,9.6
52001985,7.4,7.5,,,,,6,7.75,9.75,,9.4
52001986,8.4,7.25,7.25,4.75,4.75,,,,,,9.6
52001987,7.2,5.5,,,,,6.75,7.75,8,,2.6
52001988,8.2,4,6.25,3.5,6,,,,,,8.4
52001989,8.4,6.75,7.25,7.5,6,,,,,,7.4
52001990,9.2,7,8,5.75,7.5,,,,,,9
52001991,7.8,7.5,,,,,5.25,8.75,8,,5
52001992,5.4,4.5,,,,,3.25,6.25,8.75,,4.6
52001993,7.6,8.25,,,,,6.25,6.5,9.5,,9.4
52001994,9,7.25,9,8,6.5,,,,,,
52001995,7.2,3.5,,,,,7,8,9,,7.8
52001996,8.8,8.5,,,,,9.25,9.25,10,,6.4
52001997,7.2,5.5,6,7,4,,,,,,6.6
52001998,6.6,6,5.5,3.5,5.75,,,,,,9.6
52001999,8.8,5.75,6.75,8,9.75,,,,,,8.2
52002000,6.6,8.5,,,,,6.75,8,9,,9.4
52002001,5.6,5.5,5.5,4.5,4,,,,,,3.6
52002002,8,6.5,,,,,6.5,7.25,9.5,,9.4
52002003,7.6,7.25,6.25,6,6.5,,,,,,6.6
52002004,6.6,6.25,5.75,5.25,5.5,,,,,,7.8
52002005,7.4,7,,,,,6.25,7.5,8.75,,10
52002006,7.4,7.5,,,,,2.5,5.5,7.75,,6.6
52002007,7.8,7,,,,,7.25,9,9.5,,9.6
52002008,8.8,8,8.25,6.75,8.25,,,,,,10
52002009,6,7.75,,,,,6,7.25,7,,4.4
52002010,7.4,8,,,,,5.5,7.25,9.5,,8.4
52002011,8.2,5.5,6.5,4.5,4,,,,,,8.6
52002012,8.6,7.25,5.5,5.75,4,,,,,,6.2
52002013,8.2,6.5,7,6.25,5.25,,,,,,8.8
52002014,5.4,6,3.75,3.5,4.25,,,,,,6.6
52002015,9,5,6.25,4.75,5.75,,,,,,9
52002016,7,7,,,,,4.5,7.75,10,,8.6
52002017,7.4,7.5,,,,,3.75,6.5,9,,6.6
52002018,8.6,8.75,,,,,8.5,9.5,9.5,,9.2
52002019,8,8.25,,,,,8.5,9.25,9.75,,9.8
52002020,8.4,7.25,6.25,8,4.5,,,,,,9.2
52002021,8.2,7.75,7.25,7.75,6.5,,,,,,9.2
52002022,7.4,6,7,6.75,6.25,,,,,,8.6
52002023,8,6.75,7,7,6.25,,,,,,9
52002024,8.8,6.25,7.75,4.75,4.5,,,,,,9.8
52002025,6.2,7.75,6.25,6.25,4.75,,,,,,7.4
52002026,7.4,8.25,,,,,3.75,6.5,7.25,,7.4
52002027,7.2,7,,,,,5,7.75,7.75,,6.8
52002028,8.4,8.75,,,,,7.5,8.5,9.75,,9.4
52002029,8.4,9,7.25,6.5,7.75,,,,,,10
52002030,9,8.25,,,,,9.25,9.25,9.5,,9.8
52002031,7.2,7.75,,,,,6.75,8,9.5,,9.8
52002032,6.2,6.75,,,,,2.25,5,5.5,,5.2
52002033,7,8.75,,,,,6.25,8.25,10,,9.4
52002034,8,8.25,,,,,7.25,7.75,9.75,,9.4
52002035,8.8,6.75,8,9.25,7,,,,,,8.8
52002036,6.2,3.5,,,,,3,5.5,5.75,,4.8
52002037,7.6,7.75,,,,,6.25,6.75,9.5,,8.4
52002038,8.6,6.25,5.75,5.5,6.25,,,,,,8
52002039,6,6.5,5.5,3.5,6,,,,,,8.8
52002040,9,8,7.5,8,5.75,,,,,,8.2
52002041,8.8,7.25,8.25,7.5,6.75,,,,,,
52002042,8,6.5,7.25,6.5,4.75,,,,,,8.4
52002043,6.6,7,,,,,7.5,8.25,9.75,,9.2
52002044,8.4,6,7.5,9,5.5,,,,,,8
52002045,9,7,8,6.5,6.5,,,,,,9.6
52002046,6,8.5,,,,,5,5.5,9.75,,6.4
52002047,8.6,8.5,,,,,8.75,9.5,9.75,,9.8
52002048,8.8,7.5,5,8,7,,,,,,6.6
52002049,7.8,6.75,6.5,6,6,,,,,,9.2
52002050,6.6,7.5,6.25,3.75,5.5,,,,,,6.8
52002051,5.2,7.75,5.5,4.75,4,,,,,,3.4
52002052,8.8,9,,,,,9.25,9.25,9.75,,9.6
52002053,7.8,7.25,5,6.75,2.75,,,,,,4.6
52002054,4.8,7.75,,,,,4.75,6.5,8,,6.4
52002055,6.6,7.25,6,7.5,5.25,,,,,,7
52002056,8.6,6.5,5,8,9,,,,,,7.8
52002057,8.2,6.25,6,6.5,6.25,,,,,,7.6
52002058,7.6,8.25,,,,,4.75,7,9.5,,8.4
52002059,7.2,5.5,5.75,7,5.25,,,,,,8
52002060,7,6.75,4.75,6.5,5.5,,,,,,7.6
52002061,5.2,6.66,,,,,3,6,8.5,,4.8
52002062,7.6,8.25,,,,,6.25,7.25,9.5,,9.4
52002063,7.6,7.75,,,,,5.75,8.25,10,,8.4
52002064,7,8.25,,,,,6,7.5,8,,7.6
52002065,8.6,8.25,,,,,3,5.5,8,,10
52002066,7.8,7,7.25,4,4.5,,,,,,8.8
52002067,6.4,7.25,7.5,4.5,5.5,,,,,,8.4
52002068,7.6,8.75,,,,,6,8,9,,9.6
52002069,8.8,8.5,,,,,6.75,9,9.75,,8.8
52002070,8,5.25,6,7.75,5,,,,,,6.4
52002071,7.4,7.75,6.25,7.25,5.75,,,,,,6.4
52002072,7,7.25,,,,,3,5.25,7.5,,4.4
52002073,7,7.25,5.5,7,5,,,,,,4.8
52002074,6.2,6.75,6,7.75,5.75,,,,,,6.8
52002075,6.4,7.5,6,4.75,5.25,,,,,,5.2
52002076,8.4,8,7.5,7.5,6,,,,,,8.4
52002077,8,7.5,4.75,4,5.25,,,,,,8.8
52002078,8.4,9,,,,,6.75,7.5,9.75,,9.6
52002079,9,7.5,6.75,7.25,6.25,,,,,,9.2
52002080,6.2,6.25,,,,,3.5,6,8.5,,4.4
52002081,7.4,3.75,7.25,4.75,4.5,,,,,,9.4
52002082,8,7.25,6.25,3.5,5,,,,,,8
52002083,8,5.25,6.75,7.25,5.25,,,,,,8.8
52002084,8.6,7.75,7.5,8.25,5.75,,,,,,8
52002085,5,7,,,,,4.5,4.75,8,,3.8
52002086,6.4,6.25,4.5,4,4.25,,,,,,5.8
52002087,9.2,6.75,8,6,4.5,,,,,,
52002088,8,7.5,6.5,8,5.25,,,,,,6.2
52002089,8.8,7.75,7.5,6.5,6.5,,,,,,9.2
52002090,6.2,5,3.75,3.5,2.5,,,,,,3.2
52002091,7,7.75,,,,,6,9,8.5,,7.8
52002092,5.4,5.5,,,,,5.25,7.25,7,,5
52002093,7.8,7.75,,,,,8,8,9.25,,9.2
52002094,6.4,6.75,,,,,5.75,5.25,7.5,,7.2
52002095,7.4,7,,,,,8.5,9,9.75,,9.6
52002096,6.6,7,5,4.5,5.75,,,,,,4.6
52002097,8.4,6.75,7,6,5.5,,,,,,9.2
52002098,8.2,6,4.75,8.25,3.75,,,,,,9.4
52002099,8.6,7,6.5,6.25,5.5,,,,,,8.8
52002100,8,7.5,,,,,7.5,8,9.5,,9.6
52002101,7.4,8,,,,,6.5,7.5,9.5,,9.4
52002102,7.8,7.75,,,,,7,8.25,9.75,,9
52002103,8.2,8.5,8.25,8.75,7.75,,,,,,9.2
52002104,7.8,9,,,,,8,9.75,9,,8.8
52002105,5.8,8.25,,,,,6.25,8,9.5,,8.8
52002106,8.8,6.33,7,7.5,4.75,,,,,,8.6
52002107,7,3.5,5.25,6.25,3.25,,,,,,4.6
52002108,7.2,7.25,7.25,7.25,5.5,,,,,,9.6
52002109,6.4,6.75,7.75,3.25,6.25,,,,,,9
52002110,8,7,6.5,6.75,6.25,,,,,,9.6
52002111,7.4,7.75,,,,,6.25,6.5,7,,9.4
52002112,6.2,7,,,,,6.5,6.75,9.25,,9.6
52002113,7.6,8,6.25,6.75,5,,,,,,9
52002114,9.2,7.25,8,6.25,6.25,,,,,,9.6
52002115,8,5.75,5.25,5.25,4.75,,,,,,7.6
52002116,8.4,8.75,2.25,7.25,5,,,,,,8.4
52002117,8.8,8,8.25,8.5,5.5,,,,,,
52002118,7.2,7.25,6.5,7.75,3.5,,,,,,8
52002119,8.2,7.75,,,,,7.75,8.25,9.5,,10
52002120,5,4,,,,,3.75,6,7,,3.6
52002121,7.4,6.5,5.75,3.25,4.5,,,,,,7.8
52002122,7.4,7.5,,,,,7.75,8.5,9.75,,9.6
52002123,6.2,5.75,,,,,4.25,6.25,7.25,,5.8
52002124,8.8,6.25,8,8.75,4.25,,,,,,8.6
52002125,7,6.5,5.5,5,5,,,,,,8.2
52002126,8.8,8,,,,,6.5,9,9.5,,9.4
52002127,7.6,5.75,6.5,7.75,3.5,,,,,,9
52002128,3.4,6.75,,,,,6.5,7.5,9,,6.4
52002129,6.6,4.75,4.75,3.5,1.75,,,,,,3.2
52002130,6.8,6.25,,,,,5,8.75,8,,9.2
52002131,5.8,8,,,,,4.5,7,8.25,,4.2
52002132,7.2,8,,,,,6,7,9.5,,7.4
52002133,4.8,4,,,,,3.5,6.75,6.25,,2.6
52002134,9,7.5,6,7.25,7.5,,,,,,9.8
52002135,8.2,6.75,,,,,6.25,8.25,9.75,,9.6
52002136,6.6,7.75,,,,,5.25,6,7.25,,5.8
52002137,8.6,7.75,7.75,6.5,4.5,,,,,,8.8
52002138,7.6,7.5,,,,,6,7.75,9.25,,7.4
52002139,7.4,7.5,6.75,5.75,6,,,,,,9
52002140,7,6.5,6.5,5.75,5,,,,,,4.2
52002141,7.8,8,,,,,9,9,10,,9
52002142,8.6,8,,,,,9.75,7.5,7,,9
52002143,8,6.75,8.25,6,5,,,,,,9.8
52002144,7.8,7.25,8,6.25,5.5,,,,,,9.6
52002145,7.2,8.25,,,,,7.5,9,9.75,,8.4
52002146,8.2,7,8.5,8.25,5,,,,,,9.4
52002147,9,7.25,7.75,9,4.5,,,,,,8.6
52002148,7.2,7.25,6,4,5.25,,,,,,8.8
52002149,7.8,6.5,6.25,6.5,3.5,,,,,,9.2
52002150,8.4,6.5,7.5,6.25,5.5,,,,,,9.8
52002151,8.6,6.75,8.75,6.25,6,,,,,,9.6
52002152,7.6,7.75,4.5,7.75,4.5,,,,,,6.8
52002153,7.8,6.75,7.75,7.75,6.25,,,,,,9
52002154,4.2,6,,,,,3.25,6.25,7.5,,5.8
52002155,7.6,5.5,5.5,4,7,,,,,,8
52002156,8.6,7.5,7.75,8,6.75,,,,,,9.8
52002157,8.6,6.25,8,7.5,5.75,,,,,,8.6
52002158,8.4,6.5,7,7.5,5.75,,,,,,5
52002159,8,6.5,6.25,5.5,6.25,,,,,,8.6
52002160,7,5.75,6.5,8,4.5,,,,,,7.4
52002161,8.2,5.5,7.5,7.5,6.5,,,,,,9.8
52002162,6.4,5,5.25,3.75,4.25,,,,,,5
52002163,9.6,6.25,7.75,5.75,6,,,,,,9.6
52002164,7.4,7,6.5,6,5.75,,,,,,8.2
52002165,7.8,6.75,6.75,7.5,5,,,,,,9
52002166,8.8,7,8.75,8.25,7.25,,,,,,9.4
52002167,7.4,5.75,5.75,5.75,3,,,,,,7.6
52002168,8.6,7.5,7.25,7.5,7.25,,,,,,9.8
52002169,7.6,5.5,6.25,4,3.25,,,,,,7.8
52002170,8.4,6.5,7.5,7.5,6.25,,,,,,9.4
52002172,8.6,7,9,8,5.5,,,,,,9.4
52002173,8.4,7.25,7.75,5.25,7.5,,,,,,9
52002174,8.2,4.5,8.25,7.25,5.25,,,,,,5.8
52002175,7.6,7.75,5.5,5.25,5,,,,,,7
52002176,7.2,5.5,6.5,3.75,4.75,,,,,,9
52002177,8,6.75,4.5,8.75,4.5,,,,,,6.4
52002178,6.6,5.25,4.75,5,3.75,,,,,,6.8
52002179,3.4,5.75,5,4.5,4,,,,,,4.6
52002180,7.2,6.25,6.5,5.5,6.25,,,,,,9.2
52002181,8.4,6.25,6.75,4.75,5.5,,,,,,8
52002182,8.8,7,7.5,8.25,6.5,,,,,,9.8
52002183,8.2,8,7.75,7,6.5,,,,,,9.4
52002184,7,7.5,5.5,5.5,3,,,,,,4
52002185,8.6,6.75,7.5,8,8.75,,,,,,8.8
52002186,6,6.25,4.5,4.75,4.25,,,,,,7.8
52002187,7.2,7,6.75,5.25,4.75,,,,,,8.2
52002188,6.2,7.5,5.25,3.25,4,,,,,,6.8
52002189,8,6.25,8.5,8.25,7.25,,,,,,9
52002190,7.6,6,5.5,8,7,,,,,,7
52002191,8.8,7,7.25,8.5,6.5,,,,,,8.8
52002192,6.8,6.25,3.75,3.75,3.75,,,,,,8
52002193,7.8,4,7.75,6.75,6.5,,,,,,9.8
52002194,6,4.25,3.75,4.75,4.25,,,,,,8.4
52002195,8.6,6.5,6.5,7.75,7.25,,,,,,9.2
52002196,8.2,7.25,6.25,8,5.5,,,,,,9
52002197,7.8,6,6.25,7.5,6,,,,,,8.6
52002198,5.4,6,4,3.25,4.75,,,,,,8.6
52002199,8,6.5,7,6.25,5.25,,,,,,9
52002200,8.6,6.25,7.25,8,4.25,,,,,,9
52002201,8.6,6,7,5.75,5.25,,,,,,8.6
52002202,9.2,7,8.5,7,4,,,,,,9.4
52002203,8.6,5.25,8.25,4,6,,,,,,9.2
52002204,6.6,7.5,5.75,6.25,6,,,,,,9
52002205,7,6.25,6.5,2.5,4.25,,,,,,8.4
52002206,7.6,6.5,6,8.25,4.75,,,,,,4.4
52002207,7.6,8,6.75,6,4,,,,,,9.4
52002208,5.8,5,4,4.5,4,,,,,,8.4
52002209,6.6,7,4.75,4.75,4.75,,,,,,4.6
52002210,8,6.75,5.5,8.25,4.25,,,,,,7.8
52002211,7.6,7,5.75,4,4.25,,,,,,9.6
52002212,8.4,7.5,6.25,3.75,4,,,,,,4.4
52002213,8.8,7,8.25,4.75,3.5,,,,,,9.2
52002214,8.4,6.75,6,6.25,5.5,,,,,,7.2
52002215,7.6,7.5,6.75,8,4.25,,,,,,7.6
52002216,8.8,6.75,7.5,4.25,5.5,,,,,,8.6
52002217,6.8,7,5.75,5.25,5,,,,,,6.2
52002218,6.8,7.25,5.5,7,6.5,,,,,,8
52002219,9.2,5.75,7.75,9,2.25,,,,,,7.8
52002220,7,7.25,6.5,5.25,5.5,,,,,,6
52002221,6.8,6.5,6.75,7.5,4.25,,,,,,8
52002222,8.4,8.25,,,,,6,7.25,8.75,,9.6
52002223,8,7.75,,,,,7.5,8.25,9.5,,8.4
52002224,7.6,7.5,,,,,8,8.25,9.5,,8.6
52002225,6.6,5.25,,,,,5.25,7,8.5,,3.8
52002226,8,7.25,,,,,6.25,9,9.25,,9.6
52002227,6.6,7,,,,,5,8,9.25,,8.6
52002228,6.2,5.75,,,,,5.75,7,7,,8.6
52002229,6.8,7,,,,,5,7.5,9,,5.4
52002230,7.6,8,,,,,3.5,6.5,9,,9
52002231,7,8,,,,,7,8,9,,8.6
52002232,6.4,8.5,,,,,5.25,8.25,9.75,,9
52002233,9,8.75,,,,,4.75,7.25,6.25,,9
52002234,6.2,8.25,,,,,4.25,7.25,8.75,,4.8
52002235,7.2,8,,,,,5.25,6.5,9.5,,7.2
52002236,7.8,8.25,,,,,5.25,7.25,9.75,,9.4
52002237,8,7.25,7,6.5,5,,,,,,8.8
52002238,8.2,7.5,5.75,7.5,5.25,,,,,,9.6
52002239,8,8,,,,,7.25,8.25,9.75,,9.6
52002240,8.6,7.5,,,,,8.75,8.25,9.25,,10
52002241,6.6,5.5,,,,,5.25,7.5,9.5,,9.6
52002242,8.8,6,5.25,8.25,9.25,,,,,,9.2
52002243,6.4,8,,,,,7.25,7.25,9.25,,8.4
52002244,7.8,6.75,,,,,3.25,7.25,7,,4.4
52002245,7.2,6.5,,,,,4,6.75,9.5,,7.4
52002246,6.8,5.75,4.5,4,3,,,,,,5.4
52002247,6.8,8,4,6.75,4.25,,,,,,5.2
52002248,7.6,7.5,,,,,4.25,7.25,9.75,,8.6
52002249,6.8,8.75,,,,,6,7.5,9.25,,9
52002250,7.4,6.75,,,,,7.75,8.5,9.75,,9.4
52002251,6.6,7,,,,,5,5.25,7.75,,5
52002252,8,6.75,7,6,4.75,,,,,,8.8
52002253,7.6,6.75,6.25,8.25,4.5,,,,,,6.2
52002254,6.4,7,,,,,3,6.75,5.5,,5.4
52002255,8.4,8.25,,,,,8.25,8.5,9.75,,9.8
52002256,7.4,8,5.5,6.5,5,,,,,,9.6
52002257,6.8,6.75,,,,,5.25,7.25,8.75,,6
52002258,9.4,7,8,7.75,7,,,,,,
52002259,8.6,6.25,6.75,7.5,4.5,,,,,,8
52002260,7.6,7.5,,,,,7.75,8.25,9.75,,9.8
52002261,6.6,7.5,,,,,5,7.25,9.75,,7.8
52002262,5.8,7.25,4.75,2.75,3.25,,,,,,5
52002263,6.2,7.5,,,,,6.25,6,7.75,,6.4
52002264,8.6,8.25,,,,,8.5,8.75,10,,10
52002265,8.6,6.75,8,8,7,,,,,,9.8
52002266,8,7,5.5,7,4.75,,,,,,9.2
52002267,6.4,6.75,6.75,7.25,7.5,,,,,,8.4
52002268,7,7.5,6.25,7,6.25,,,,,,7.4
52002269,7,5,7,5.5,4.75,,,,,,9
52002270,8.8,8.5,,,,,8.75,8.25,9.75,,9.6
52002271,7.4,7.75,,,,,7.25,8.25,9,,8.8
52002272,6.6,7.25,,,,,3,6.5,8.75,,8.6
52002273,6.6,7.5,,,,,3.5,5.5,5.5,,5.8
52002274,8.2,8,,,,,6.25,7.5,9,,9
52002275,6.8,4.75,6,5,4,,,,,,6
52002276,7.4,7.75,,,,,5.5,7,9,,6.6
52002277,8.2,7.5,4.75,4,5.5,,,,,,7.6
52002278,6.8,7.5,5.75,7.75,6,,,,,,5.4
52002279,6.4,7,,,,,3.75,6.25,7.25,,4.6
52002280,7.8,8,,,,,5,7.5,9,,9.2
52002281,6.8,7.25,4.25,5.75,3.75,,,,,,8.8
52002282,8,6.5,6.25,7.25,3.75,,,,,,6.6
